"","x","y","costo_oper"
"1",0.292315840255469,0.807352340314537,0.11
"2",0.837295628152788,0.553333590738475,0.62
"3",0.286223284667358,0.646406094077975,0.61
"4",0.266820780001581,0.311824307078496,0.62
"5",0.186722789658234,0.621819198131561,0.86
"6",0.232225910527632,0.329770175740123,0.64
"7",0.316612454829738,0.501997472951189,0.01
"8",0.302693370729685,0.677094527287409,0.23
"9",0.159046002896503,0.484991239150986,0.67
"10",0.0399959180504084,0.243928827345371,0.51
"11",0.218799541005865,0.765459787566215,0.69
"12",0.810598552459851,0.0737798800691962,0.54
"13",0.525697546778247,0.309686601860449,0.28
"14",0.914658166002482,0.71727174334228,0.92
"15",0.83134504687041,0.504545912146568,0.29
"16",0.045770263299346,0.152998958947137,0.84
"17",0.456091482425109,0.503933488158509,0.29
"18",0.265186671866104,0.493960923049599,0.27
"19",0.304672203026712,0.751200197031721,0.19
"20",0.50730687007308,0.174649823922664,0.23
"21",0.181096208281815,0.848392410436645,0.32
"22",0.759670635452494,0.86483383201994,0.3
"23",0.201248037628829,0.0418572751805186,0.16
"24",0.25880981865339,0.317182155326009,0.04
"25",0.992150417529047,0.0137499391566962,0.22
